--------- beginning of system
09-12 09:43:54.281 I/keystore2(  200): system/security/keystore2/watchdog/src/lib.rs:319 - Watchdog thread idle -> terminating. Have a great day.
--------- beginning of main
09-12 09:43:54.507 D/Maestro (25111): Requesting view hierarchy
09-12 09:43:54.532 W/QueryController(25111): Could not detect idle state.
09-12 09:43:54.539 W/QueryController(25111): Could not detect idle state.
09-12 09:43:54.809 D/ActivityManager(  600): freezing 2148 com.android.vending:background
09-12 09:43:54.905 I/rkstack.process(  924): Background concurrent mark compact GC freed 2728KB AllocSpace bytes, 0(0B) LOS objects, 49% free, 2771KB/5543KB, paused 2.375ms,10.098ms total 384.839ms
09-12 09:43:55.007 D/ActivityManager(  600): freezing 1673 com.android.vending
09-12 09:43:55.010 D/InetDiagMessage(  600): Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET, states=14
09-12 09:43:55.011 D/InetDiagMessage(  600): Destroyed 1 sockets, proto=IPPROTO_TCP, family=AF_INET6, states=14
09-12 09:43:55.012 D/InetDiagMessage(  600): Destroyed live tcp sockets for uids={10142} in 3ms
09-12 09:43:55.048 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@c443d; boundsInParent: Rect(0, 0 - 0, 0); boundsInScreen: Rect(827, 66 - 827, 66); boundsInWindow: Rect(827, 66 - 827, 66); packageName: com.android.systemui; className: android.widget.FrameLayout; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.252 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@dff31; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -3057); boundsInWindow: Rect(36, 677 - 1044, -3057); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.254 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e11f6; boundsInParent: Rect(0, 0 - 1008, 183); boundsInScreen: Rect(36, 677 - 1044, -2863); boundsInWindow: Rect(36, 677 - 1044, -2863); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.256 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e24bb; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -2623); boundsInWindow: Rect(36, 677 - 1044, -2623); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.257 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e3780; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -2384); boundsInWindow: Rect(36, 677 - 1044, -2384); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.259 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e4a45; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -2145); boundsInWindow: Rect(36, 677 - 1044, -2145); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.261 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e5d0a; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -1906); boundsInWindow: Rect(36, 677 - 1044, -1906); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.262 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e6fcf; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -1667); boundsInWindow: Rect(36, 677 - 1044, -1667); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.264 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e8294; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -1428); boundsInWindow: Rect(36, 677 - 1044, -1428); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.265 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e9559; boundsInParent: Rect(0, 0 - 1008, 183); boundsInScreen: Rect(36, 677 - 1044, -1234); boundsInWindow: Rect(36, 677 - 1044, -1234); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.268 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@eabdf; boundsInParent: Rect(0, 0 - 932, 53); boundsInScreen: Rect(74, 677 - 1006, -1106); boundsInWindow: Rect(74, 677 - 1006, -1106); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: SMS Policy; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.269 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@eafa0; boundsInParent: Rect(0, 0 - 932, 51); boundsInScreen: Rect(74, 677 - 1006, -1007); boundsInWindow: Rect(74, 677 - 1006, -1007); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: Business name; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.271 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@eb361; boundsInParent: Rect(0, 0 - 932, 103); boundsInScreen: Rect(74, 677 - 1006, -892); boundsInWindow: Rect(74, 677 - 1006, -892); packageName: com.merxus.mobile.qa; className: android.widget.EditText; text: Merxus Maestro Tenant A; error: null; maxTextLength: 5000; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: settings.sms.business-name; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: true
09-12 09:44:10.272 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@eb722; boundsInParent: Rect(0, 0 - 932, 51); boundsInScreen: Rect(74, 677 - 1006, -818); boundsInWindow: Rect(74, 677 - 1006, -818); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: Minimum call duration (seconds); error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.273 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ebae3; boundsInParent: Rect(0, 0 - 932, 103); boundsInScreen: Rect(74, 677 - 1006, -703); boundsInWindow: Rect(74, 677 - 1006, -703); packageName: com.merxus.mobile.qa; className: android.widget.EditText; text: 15; error: null; maxTextLength: 5000; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: true
09-12 09:44:10.275 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ebea4; boundsInParent: Rect(0, 0 - 932, 51); boundsInScreen: Rect(74, 677 - 1006, -628); boundsInWindow: Rect(74, 677 - 1006, -628); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: Max auto texts per 24 hours; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.276 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ec265; boundsInParent: Rect(0, 0 - 932, 103); boundsInScreen: Rect(74, 677 - 1006, -513); boundsInWindow: Rect(74, 677 - 1006, -513); packageName: com.merxus.mobile.qa; className: android.widget.EditText; text: 2; error: null; maxTextLength: 5000; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: true
09-12 09:44:10.278 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ec626; boundsInParent: Rect(0, 0 - 932, 51); boundsInScreen: Rect(74, 677 - 1006, -439); boundsInWindow: Rect(74, 677 - 1006, -439); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: Daily digest send time; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.280 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ec9e7; boundsInParent: Rect(0, 0 - 932, 104); boundsInScreen: Rect(74, 677 - 1006, -323); boundsInWindow: Rect(74, 677 - 1006, -323); packageName: com.merxus.mobile.qa; className: android.widget.EditText; text: 18:00; error: null; maxTextLength: 5000; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: settings.sms.daily-digest-time; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: true
09-12 09:44:10.282 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ecda8; boundsInParent: Rect(0, 0 - 930, 227); boundsInScreen: Rect(75, 677 - 1005, -97); boundsInWindow: Rect(75, 677 - 1005, -97); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.284 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ee06d; boundsInParent: Rect(0, 0 - 932, 51); boundsInScreen: Rect(74, 677 - 1006, -11); boundsInWindow: Rect(74, 677 - 1006, -11); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: Notification retry max attempts; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.285 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ee42e; boundsInParent: Rect(0, 0 - 932, 104); boundsInScreen: Rect(74, 677 - 1006, 105); boundsInWindow: Rect(74, 677 - 1006, 105); packageName: com.merxus.mobile.qa; className: android.widget.EditText; text: 2; error: null; maxTextLength: 5000; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: true
09-12 09:44:10.286 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@ee7ef; boundsInParent: Rect(0, 0 - 932, 51); boundsInScreen: Rect(74, 677 - 1006, 178); boundsInWindow: Rect(74, 677 - 1006, 178); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: Notification retry delay (minutes); error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:44:10.288 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@eebb0; boundsInParent: Rect(0, 0 - 932, 103); boundsInScreen: Rect(74, 677 - 1006, 293); boundsInWindow: Rect(74, 677 - 1006, 293); packageName: com.merxus.mobile.qa; className: android.widget.EditText; text: 15; error: null; maxTextLength: 5000; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_LONG_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SET_TEXT - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: true
09-12 09:44:10.289 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@eef71; boundsInParent: Rect(0, 0 - 930, 226); boundsInScreen: Rect(75, 677 - 1005, 519); boundsInWindow: Rect(75, 677 - 1005, 519); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
